language_name_in_Kikuyu,language_name_in_Cambodian,language_name_in_Sarnami,language_name_in_Khoekhoegowab,language_name_in_Haitian,language_name_in_Tojolabal,language_name_in_Croatian,language_name_in_Herero,language_name_in_Serbian,language_name_in_Waray-Waray,language_name_in_Kikaonde,language_name_in_Kongo,language_name_in_Lhukonzo,language_name_in_Ukrainian,language_name_in_Kabyle,language_name_in_Aymara,language_name_in_Toba,language_id,language_name_in_Huastec,language_name_in_Hindi,language_name_in_Nzema,language_name_in_Ndonga,language_in_English,language_name_in_Kwanyama,language_name_in_Punjabi,language_name_in_Faeroese,language_name_in_Georgian,language_name_in_Greenlandic,language_name_in_Miskito,language_name_in_Hungarian,language_name_in_Efik,language_name_in_Rapa,language_name_in_Bicol,language_name_in_Afrikaans,language_name_in_Armenian,language_name_in_Wolaita,language_name_in_Huave,language_name_in_Kikamba,language_name_in_Hausa,language_name_in_Amharic,language_name_in_Norwegian,language_name_in_Kisonge,language_name_in_Nahuatl,language_name_in_Nepali,language_name_in_Solomon,language_name_in_Kirghiz,language_name_in_Ndebele,language_name_in_Rarotongan,language_name_in_Korean,language_name_in_Zapotec,language_name_in_Baoule,language_name_in_Dutch,language_name_in_Aukan,language_name_in_Tlapanec,language_name_in_Pangasinan,language_name_in_Russian,language_name_in_Ewe,language_name_in_Mauritian,language_name_in_Uruund,language_name_in_Voru,language_name_in_Spanish,language_name_in_Greek,language_name_in_Lingala,language_name_in_Estonian,language_name_in_Vezo,language_name_in_Rumanyo,language_name_in_Luganda,language_name_in_Lithuanian,language_name_in_Mayo,language_name_in_Lamba,language_name_in_Yoruba,language_name_in_Sepedi,language_name_in_Kinyarwanda,language_name_in_Dangme,language_name_in_Tarascan,language_name_in_Rutoro,language_name_in_Wayuunaiki,language_name_in_Mixtec,language_name_in_Cebuano,language_name_in_Sango,language_name_in_Quechua,language_name_in_Tiv,language_name_in_Guna,language_name_in_Maya,language_name_in_Sranantongo,language_name_in_Acholi,language_name_in_Xhosa,language_name_in_Tetum,language_name_in_Krio,language_name_in_Isoko,language_name_in_Oromo,language_name_in_Saramaccan,language_name_in_Quichua,language_name_in_Azerbaijani,language_name_in_Chin,language_name_in_Romanian,language_name_in_Bulgarian,language_name_in_Quiche,language_name_in_Kalenjin,language_name_in_Lahu,language_name_in_Mbunda,language_name_in_Swati,language_name_in_Tsonga,language_name_in_Kisi,language_name_in_Cinyanja,language_name_in_Shona,language_name_in_Newari,language_name_in_Slovenian,language_name_in_Zande,language_name_in_Tamil,language_name_in_Mambwe-Lungu,language_name_in_Icelandic,language_name_in_Runyankore,language_name_in_Guarani,language_name_in_Mongolian,language_name_in_Kiluba,language_name_in_Tagalog,language_name_in_Ngabere,language_name_in_Kwangali,language_name_in_Italian,language_name_in_Iloko,language_name_in_Portuguese,language_name_in_Hiligaynon,language_name_in_Tzotzil,language_name_in_Myanmar,language_name_in_Ateso,language_name_in_Finnish,language_name_in_Welsh,language_name_in_Zulu,language_name_in_Chol,language_name_in_Sesotho,language_name_in_Otomi,language_name_in_Mazatec,language_name_in_Tajiki,language_name_in_Kekchi,language_name_in_Mam,language_name_in_Lenje,language_name_in_Kalanga,language_name_in_Somali,language_name_in_Tarahumara,language_name_in_Vietnamese,language_name_in_Gujarati,language_name_in_Marathi,language_name_in_French,language_name_in_Sinhala,language_name_in_Frafra,language_name_in_Indonesian,language_name_in_Luvale,language_name_in_Tongan,language_name_in_Danish,language_name_in_Japanese,language_name_in_Niuean,language_name_in_Polish,language_name_in_Tankarana,language_name_in_Czech,language_name_in_Chinese,language_name_in_Garifuna,language_name_in_Maltese,language_name_in_Venda,language_name_in_Nuer,language_name_in_Sidama,language_name_in_Mayangna,language_name_in_Thai,language_name_in_Swahili,language_name_in_Luo,language_name_in_English,language_name_in_Latvian,language_name_in_Kazakh,language_name_in_Irish,language_name_in_Macedonian,language_name_in_Mixe,language_name_in_Tahitian,language_name_in_Samoan,language_name_in_Lugbara,language_name_in_Tatar,language_name_in_Albanian,language_name_in_Turkish,language_name_in_Totonac,language_name_in_Tswana,language_name_in_Slovak,language_name_in_Swedish,language_name_in_Ga,language_name_in_Kurdish,language_name_in_Twi,language_name_in_Tokelauan,language_name_in_Malagasy,language_name_in_Papiamento,language_name_in_Romany,language_name_in_Tzeltal,language_name_in_Cakchiquel,language_name_in_Wichi,language_name_in_German,language_name_in_Igbo,language_name_in_Ossetian,language_name_in_Mapudungun,language_name_in_Tigrinya,language_name_in_Seychelles
Kĩnahuatl,Nahuatl,Nahuatl,Nahuatl,Nawouatl,náhuatl,nahuatl,Nahuatl,nahuatl,Nahuatl,Nahuatl,Nahuatl,Nahuatl,науатль,Nahuatl,Náhuatl,náhuatl,ncx,náhuatl,नावाटल,Nahuatl,Nahuatl,Nahuatl,Nahuatl,ਨਹੂਆਟਲ,Nahuatl,ნაუატლი,Nahuatl,náhuatl,navatl,Nahuatl,náhuatl,Nahuatl,Nahuatl,Նահուատլ,Nawatale,náhuatl,Kĩnauatĩli,Nahuatl,ናዋትል,Nahuatl,Nahuatl,náhuatl,नाह्वाटल,Nahuatl,наутал,Nahuatl,Nahuatl,나와틀어,náhuatl,Nahuatl,Nahuatl,Nahuataltongo,Náhuatl,Nahuatl,науатль,Nahuatl,Nahuatl,rudim,nahua,náhuatl,Νάχουατλ,Nahuatl,nahua,Nahuatl,Nahuatl,Nahuatl,actekų,náhuatl,Nahuatl,Nahuatl,Senahuatl,Ikinahuwatili,Nahuatl,náhuatl,Nahuatl,Náhuatl,Náhuatl,Nahuatl,Nahuatl,Náhuatl,Nahuatl,náhuatl,náhuatl,Nahuataltongo,Nahuatl,IsiNahuatl,Nahuatl,Nahuatl,Nahuatl,Naahuwaatil,Nahuataltongo,náhuatl,науатл,Nahuatl,Nahuatl,нахуатл,náhuatl,Nahuatl,Nahuatl,Nahuatl,SiNahuatl,Nahuatl,Nahuatl,Cinahuatl,Nahuatl,नाह्वाटल,nahuatl,Nahuatl,நாஹுவாடெல்,Nahuatl,nahúatl,Nahuatl,náhuatl,nahuatl,Kinahuatl,Nahuatl,náhuatl,Runahuatl,nahuatl,Nahuatl,Náuatle,Nahuatl,náhuatl,နာဝါ့တ်,Nahuatl,nahuatl,Nahwatl,IsiNahuatl,Náhuatl,Senahuatl,Náhuatl,náhuatl,наҳуатлӣ,náhuatl,náhuatl,Cinahuatl,Nahuatl,Nahuatl,náhuatl,Nahuatl,નાવાટલ,नहुआत्ल,Nahuatl,Nahuatl,Nahuatl,Nahuatl,Nahuatl,Nahuatl,Nahuatl,ナワトル語（中央）,Nahuatl,nahuatl,Nahuatl,nahuatl,納瓦特爾語（中部）,Náhuatl,Nahuatl,Nahuatl,Thok,Nawaatili,náhuatl,นาอัวเติล,Kinahuatl,Nahuatl,Nahuatl,Navatlu,науатль,Nahuatl,нахуатл,náhuatl,Nahuatl,Nahuatl,Nahuatl,науатль,nahuatle,Nahuatl,náhuatl,Nahuatl,nahuatl,Nahuatl,Nahuatl,Nahûatlî,Nahuatl,Nahuatl,Nahuatl,Nahuatl,Nahuatl,náhuatl,náhuatl,náhuatl,Tlascalan,Nahuatl,науатль,náhuatl,ናዋትል,Nahuatl
Kĩlatvia,ឡាតវៀ,Lets,Latvian,Leton,letón,latvijski,Latvian,letonski,Latvian,Latvian,Latvian,Latvian,латиська,Latvian,Letón,letón,lv,letón,लैटवियन,Latvian,Latvian,Latvian,Latvian,ਲੈਟਵੀਅਨ,Lettiskt,ლატვიური,Letlandimiutut,letón,lett,Usem,letón,Latvian,Letties,Լատվիերեն,Lativiyaa,letón,Kĩlativia,Latvian,ላትቪያኛ,Latvisk,Letton,letón,लाट्भियन,Latvian,латыш,Latvian,Latvian,라트비아어,letón,Letton,Lets,Latfiatongo,Letón,Latvian,латышский,Latvian,Latvian,rudim,läti,letón,Λετονική,Letton,läti,Letonianina,Latvian,Latvian,latvių,letón,Latvian,Latvian,Selatvia,Ikinyalativiya,Latvian,letón,Latvian,Letón,Letón,Latvian,Letton,Letón,Latvian,letón,letón,Latfiatongo,Latvian,IsiLatvia,Letaun,Latvian,Latvian,Afaan,Latfiatongo,letón,латыш,Latvia,Letonă,латвийски,letón,Latvian,Latvian,Latvian,SiLatvian,Latvian,Latvian,Cilativiya,Latvian,लाट्भियन,latvijščina,Latvian,லாட்வியன்,Latvian,lettneska,Latvian,letón,латви,Kileton,Latvian,letón,Rulatvian,lettone,Latvian,Letão,Latvian,letón,လတ်ဗီးယား,Latvian,latvia,Latfieg,IsiLatvia,Letón,Selatvia,Letón,letón,латишӣ,letón,letón,Cilatvia,Latvian,Latvian,letón,Latvia,લૅટ્વીયન,लॅटव्यिन,Letton,Latvian,Latvian,Latvi,Latvian,Latvian,Lettisk,ラトビア語,Faka-Latevia,łotewski,Letonianina,lotyština,拉脫維亞語,Letón,Latvjan,Latvian,Thok,Latiivi,letón,ลัตเวีย,Kilatvia,Latvian,Latvian,Latviešu,латыш,Laitvis,летонски,letón,Letton,Latvian,Latvian,латыш,letonisht,Letonca,letón,Latvian,lotyština,Lettiska,Latvia,Letonî,Latvian,Latvian,Letonianina,Latvia,Litvansko,letón,letón,letón,Lettisch,Latvian,латышаг,letón,ላትቭያኛ,Latvian
Gĩkurdish,Kurdish,Kurdish,Kurdish,Kid,kurdo,kurmandži,Kurdish,Kurdish,Kurdish,Kurdish,Kurdish,Kurdish,курдська,Kurdish,Kurdish,Kurdish,jw_rdu,Kurdish,कुरदीश,Kurdish,Kurdish,Kurdish,Kurdish,ਕੁਰਦੀ,Kurdish,ქურთული,Kurdish,kurdo,kaukázusi,Kurdish,kurdish,Kurdish,Kurdish,Քրդերեն,Kurdish,kurdo,Kurdish,Kurdish,የኩርማንጂ,Kurdisk,Kurde,Kurdish,कुर्दीस,Kurdish,күрт,Kurdish,Kurdish,쿠르만지,kurdo,Kurdish,"Koerdisch,",Kurdish,Kurdish,Kurdish,курдский,Kurdish,Kurdish,Kurdish,Kurdish,kurdo,Κουρδική,Kurde,kurmandži,Kurdish,Kurdish,Kurdish,kurdų,Kurdish,Kurdish,Kurdish,Sekurdish,Igikurude,Kurdish,kurdo,Kurdish,Kurdish,Kurdo,Kurdish,Kurdish,Kurdo,Kurdish,kurdo,kurdo,Kurdish,Kurdish,IsiKurdish,Kurdish,Kurdish,Kurdish,Kurdish,Kurdish,Kurdish,күрд,Kurdish,Curdă,кюрдски,kurdo,Kurdish,Kurdish,Kurdish,siKurdish,Kurdish,Kurdish,Cikurdish,Kurdish,कुर्दीस,kurdščina,Kurdish,Kurdish,Kurdish,Kurdish,Kurdish,kurdo,Kurdish,Kurdish,Kurdish,kurdo,Kurdish,curdo,Kurdish,Kurdish,Kurdish,Kurdish,ကာဒစ်ရှ်,Kurdish,kurdi,Cwrdeg,Kurdish,Kurdish,Kurdish,Kurdo,kurdo,курманҷии,kurdo,kurdo,Cikurdish,Kurdish,Kurdish,kurdo,Kurdish,કર્ડિશ,कुर्दिश,Kurde,Kurdish,Kurdish,Kurdis,Kurdish,Kurdish,Kurdisk,クルド語（クルマンジ－カフカス）,Kurdish,kurdyjski,Kurdish,kurdština,庫爾德語庫爾曼吉話（高加索）,Kurdo,Kurd,Kurdish,Kurdish,Kurdish,kurdo,เคิร์ดเคอร์มันจิ,Kikurmanji,Kurdish,Kurdish,Kurdish,күрд,Kurdish,курдски,kurdo,Kurde,Kurdish,Kurdish,көрд,kurde,Kürtçe,Kurdish,Kurdish,kurdčina,Kurdiska,Kurdish,K’urdî,Kurdish,Kurdish,Kurde,Kurdish,Kurdish,Kurdish,kurdo,Kurdish,Kurdisch,Kurdish,курдаг,kurdo,Kurdish,Kurdish
Kĩarmenia,អាមេនី,Armeens,Armenian,Amenyen,armenio,armenski,Armenian,jermenski,Armenian,Armenian,Armenian,Armenian,вірменська,Armenian,Armenio,armenio,hy_latn,armenio,आर्मीनियन,Armenian,Armenian,Armenian,Armenian,ਆਰਮੀਨੀ,Armenskt,სომხური,Armeniamiutut,armenio,nyugati,Armenian,armenio,Armenian,Armeens,Արևմտահայերեն,Armeenettuwaa,armenio,Kĩamenia,Armenian,አርመንኛ,Vestarmensk,Arménien,armenio,आर्मेनियन,Armenian,армян,Armenian,Reo,아르메니아어,armenio,Arménien,Armeens,Armeiniatongo,Armenio,Armenian,армянский,Armenian,Armenian,rudim,armeenia,armenio,Αρμενική,Arménien,armeenia,Armenianina,Armenian,Armenian,armėnų,armenio,Armenian,Armenian,Searmenia,Ikinyarumeniya,Armenian,armenio,Armenian,Armenio,Armenio,Armenian,Arménien,Armenio,Armenian,armenio,armenio,Armeiniatongo,Armenian,IsiArmenia,Armenu,Armenian,Armenian,Armeeniyaan,Armeiniatongo,armenio,ермәни,Armenia,Armeană,западноарменски,armenio,Armenian,Armenian,Armenian,Si-Armenian,Armenian,Armenian,Ciarmeniya,Armenian,आर्मेनियन,armenščina,Armenian,ஆரமீனியன்,Armenian,armeníska,Armenian,armenio,армен,Kialameni,Armenian,armenio,Ruarmenia,armeno,Armenian,Armênio,Armenian,armenio,အာမေးနီးယား,Armenian,armenia,Armeneg,Isi-Armenia,Armenio,Searmenia,Armenio,armenio,арманӣ,armenio,armenio,Ciarmenia,Armenian,Armenian,armenio,Armenia,આર્મેનિયન,अर्मेनियन,Arménien,Armenian,Armenian,Armenia,Armenian,Armenian,Armensk,西アルメニア語,Armenian,zachodnioormiański,Armenianina,arménština,亞美尼亞語（西部）,Armenio,Armen,Armenian,Thok,Armeeniyu,armenio,อาร์เมเนีย,Kiarmenia,Armenian,Armenian,Armēņu,армян,Airméinis,ерменски,armenio,Aramenia,Aminia,Armenian,әрмән,armenisht,Ermenice,armenio,Armenian,arménčina,Armeniska,Armenia,Ermenyî,Armenian,Faka-Aminia,Armenianina,Armenio,Ermensko,armenio,armenio,armenio,Armenisch,Armenian,сомихаг,armenio,ኣርመንኛ,Armenian
Kĩsranantongo,ស្រាន់អាន់ថង់កូ,Sranantongo,Sranantongo,Sranantongo,sranangtongo,sranantongo,Sranantongo,sranantongo,Sranantongo,Sranantongo,Sranantongo,Sranantongo,сранан-тонго,Sranantongo,Sranangtongo,sranangtongo,srn,sranangtongo,स्रानानटोंगो,Sranantongo,Sranantongo,Sranantongo,Sranantongo,ਸ੍ਰਾਨਾਨਟੋਂਗੋ,Sranantongo,სრანანტონგო,Sranantongo,sranangtongo,sranan,Sranantongo,sranangtongo,Sranantongo,Sranantongo,Սրանանտոնգո,Sranantongo,sranangtongo,Kĩsilanandongo,Sranantongo,ስራናንቶንጎ,Sranan,Sranan,sranangtongo,स्रानानटोंगो,Sranantongo,сранан-тонго,Sranantongo,Sranantongo,스라난통가어,sranangtongo,Sranan,Sranantongo,Sranantongo,Sranangtongo,Sranantongo,сранан-тонго,Sranantongo,Sranantongo,rudim,sranani,sranangtongo,Σράναν,Sranan,sranani,Sranan,Sranantongo,Sranantongo,sranantongo,sranangtongo,Sranantongo,Sranantongo,Sesranantongo,Igisiranantongo,Sranantongo,sranangtongo,Sranantongo,Sranangtongo,Sranangtongo,Sranantongo,Sranan,Sranangtongo,Sranantongo,sranangtongo,sranangtongo,Sranantongo,Sranantongo,IsiSranantongo,Sranantongo,Sranantongo,Sranantongo,Siraanaantoongoo,Sranantongo,sranangtongo,сранан-тонго,Sranantongo,Sranan,сранантонго,sranangtongo,Sranantongo,Sranantongo,Sranantongo,SiSranantongo,Sranantongo,Sranantongo,Cisranantongo,Sranantongo,स्रानानटोंगो,sranan,Sranantongo,ஸ்ரானன்டோங்கோ,Sranantongo,sranantongó,Sranantongo,sranangtongo,сранан-тонго,Kisranantongo,Sranantongo,sranangtongo,Rusranantongo,sranantongo,Sranantongo,Sranantongo,Sranantongo,sranangtongo,စရာနန်တွန်ဂို,Sranantongo,sranantongo,Sranantongo,IsiSranantongo,Sranangtongo,Sesranantongo,Sranangtongo,sranangtongo,сранан-тонго,sranangtongo,sranangtongo,Cisranantongo,Sranantongo,Sranantongo,sranangtongo,Sranantongo,સ્રાનનટોંગો,स्रानान,Sranan,Sranantongo,Sranantongo,Sranantongo,Sranantongo,Sranantongo,Sranantongo,スラナン語,Sranantongo,srański,Sranan,sranan,斯拉南湯加語,Sranangtongo,Sranantongo,Sranantongo,Thok,Siraanatongo,sranangtongo,ซรานันตองโก,Kisranantongo,Sranantongo,Sranantongo,Sranantongo,сранан-тонго,Sranantongo,сранантонго,sranangtongo,Sranan,Sranantongo,Sranantongo,сранан-тонго,sranantonge,Sranantongo,sranangtongo,Sranantongo,sranantongo,Sranantongo,Sranantongo,Saranan-tongî,Sranantongo,Sranantongo,Sranan,Sranantongo,Sranantongo,sranangtongo,sranangtongo,sranangtongo,Sranantongo,Sranantongo,сранан-тонго,sranangtongo,ስራናንቶንጎ,Sranantongo
Kĩportuguese,ព័រទុយហ្គាល់,Portugees,Portuguese,Pòtigè,portugués,portugalski,Portuguese,portugalski,Portuguese,Portuguese,Portuguese,Portuguese,португальська,Portuguese,Portugués,portugués,pt,portugués,पुर्तगाली,Portuguese,Portuguese,Portuguese,Portuguese,ਪੁਰਤਗਾਲੀ,Portugisiskt,პორტუგალიური,Portugalimiutut,portugués,portugál,Portuguese,portugués,Portuguese,Portugees,Պորտուգալերեն,Porchugaale,portugués,Kĩleno,Portuguese,ፖርቱጋልኛ,Portugisisk,Portugais,portugués,पोर्चुगिज,Portuguese,португал,IsiPutukezi,Portuguese,포르투갈어,portugués,Portugais,Portugees,Potogisitongo,Portugués,Portuguese,португальский,Portuguese,Portuguese,rudim,portugali,portugués,Πορτογαλική,Portugais,portugali,Portogey,ruPutu,Portuguese,portugalų,portugués,Portuguese,Potogí,Sepotokisi,Igiporutugali,Portuguese,portugués,Portuguese,Portugués,Portugués,Portuguese,Portugais,Portugués,Portuguese,portugués,portugués,Potogisitongo,Portuguese,IsiPhuthukezi,Portugés,Portuguese,Portuguese,Afaan,Potogisitongo,portugués,португал,Portugal,Portugheză,португалски,portugués,Portuguese,Portuguese,Portuguese,SiPutukezi,Portuguese,Portuguese,Cipwitikizi,Portuguese,पोर्चुगिज,portugalščina,Portuguese,போர்ச்சுகீஸ்,Portuguese,portúgalska,Portuguese,portugués,португали,Kipolotige,Portuguese,portugués,Ruputu,portoghese,Portuguese,Português,Portuguese,portugués,ပေါ်တူဂီ,Portuguese,portugali,Portiwgaleg,IsiPutukezi,Portugués,Sepotoketsi,Portugués,portugués,португалӣ,portugués,portugués,Ciportuguese,Portuguese,Portuguese,portugués,Bồ,પોર્ટુગીઝ,पोर्तुगीज,Portugais,Portuguese,Portuguese,Portugis,Portuguese,Portuguese,Portugisisk,ポルトガル語,Faka-Potukala,portugalski,Portogey,portugalština,葡萄牙語,Portugués,Portugiż,Portuguese,Thok,Porchugaalete,portugués,โปรตุเกส,Kireno,Portuguese,Portuguese,Portugāļu,португал,Portaingéilis,португалски,portugués,Potiti,Portuguese,Portuguese,португал,portugalisht,Portekizce,portugués,Sepotokisi,portugalčina,Portugisiska,Portugal,Portûgalî,Portuguese,Faka-Potukali,Portogey,Portugues,Portugalsko,portugués,portugués,portugués,Portugiesisch,Portuguese,португайлаг,portugués,ፖርቱጋልኛ,Portuguese
Gĩtahiti,Tahitian,Tahitiaans,Tahitian,Tayisyen,tahitiano,tahićanski,Tahitian,tahićanski,Tahitian,Tahitian,Tahitian,Tahitian,таїтянська,Tahitian,Tahitiano,tahitiano,ty,tahitiano,तहीतियन,Tahitian,Tahitian,Tahitian,Tahitian,ਤਾਹੀਤੀਅਨ,Tahitiskt,ტაიტური,Tahitimiutut,tahitiano,tahiti,Usem,tahitiano,Tahitian,Tahitiaans,Թաիթերեն,Tahite,tahitiano,Kĩtaiti,Tahitian,ታሂቲኛ,Tahitisk,Tahitien,tahitiano,ताहिटी,Tahitian,таити,Tahitian,Reo,타히티어,tahitiano,Tahitien,Tahitiaans,Tahititongo,Tahitiano,Tahitian,таити,Tahitian,Tahitian,rudim,tahiti,tahitiano,Ταϊτική,Tahitien,tahiti,Tahisianina,Tahitian,Tahitian,taitiečių,tahitiano,Tahitian,Tahitian,Setahiti,Igitahiti,Tahitian,tahitiano,Tahitian,Tahitiano,Tahitiano,Tahitian,Tahitien,Tahitiano,Tahitian,tahitiano,tahitiano,Tahititongo,Tahitian,IsiTahiti,Tahitian,Tahitian,Tahitian,Afaan,Tahititongo,tahitiano,Таити,Tahiti,Tahitiană,таитянски,tahitiano,Tahitian,Tahitian,Tahitian,SiTahiti,Tahitian,Tahitian,Citahitiya,Tahitian,ताहिटी,tahitijščina,Tahitian,டஹிடியன்,Tahitian,tahítíska,Tahitian,tahitiano,тахити,Kitahiti,Tahitian,tahitiano,Rutahiti,tahitiano,Tahitian,Taitiano,Tahitian,tahitiano,တဟီတီ,Tahitian,tahiti,Tahitïeg,IsiTahiti,Tahitiano,Setahiti,Tahitiano,tahitiano,таитианӣ,tahitiano,tahitiano,Citahitia,Tahitian,Tahitian,tahitiano,Tahiti,ટાહિશ્ન,ताहितीयन,Tahitien,Tahitian,Tahitian,Tahiti,Tahitian,Tahitian,Tahitisk,タヒチ語,Faka-Tahiti,tahitański,Tahisianina,tahitština,塔希提語,Tahitiano,Taħitjan,Tahitian,Thok,Tahitii,tahitiano,ตาฮิตี,Kitahiti,Tahitian,Tahitian,Taitiešu,таити,Taihítis,тахитски,tahitiano,Tahiti,Tahiti,Tahitian,таити,tahitiane,Tahiti,tahitiano,Tahitian,tahitčina,Tahitiska,Tahiti,Tahîtîanî,Tahitian,Faka-Tahiti,Tahisianina,Tahitiano,Tahitsko,tahitiano,tahitiano,tahitiano,Tahitisch,Tahitian,таити,tahitiano,ታሂትኛ,Tahitian
Kĩlingala,លីងកាឡា,Lingala,Lingala,Lingala,lingala,lingala,Lingala,lingala,Lingala,Lingala,Lingala,Lingala,нгала,Lingala,Lingala,lingala,ln,lingala,लिंगाला,Lingala,Lingala,Lingala,Lingala,ਲਿੰਗਾਲਾ,Lingala,ლინგალა,Lingala,lingala,lingala,Lingala,lingala,Lingala,Lingala,Լինգալա,Lingala,lingala,Kĩlingala,Lingala,ሊንጋላ,Lingala,Lingala,lingala,लिंगाला,Lingala,лингал,Lingala,Lingala,링갈라어,lingala,Lingala,Lingala,Lingalatongo,Lingala,Lingala,лингала,Lingala,Lingala,rudim,lingala,lingala,Λινγκάλα,Lingala,lingala,Lingala,Lingala,Lingala,lingala,lingala,Lingala,Lingala,Selingala,Ilingala,Lingala,lingala,Lingala,Lingala,Lingala,Lingala,Lingala,Lingala,Lingala,lingala,lingala,Lingalatongo,Lingala,IsiLingala,Lingala,Lingala,Lingala,Lingaalaa,Lingalatongo,lingala,лингала,Lingala,Lingala,лингала,lingala,Lingala,Lingala,Lingala,SiLingala,Lingala,Lingala,Cilingala,Lingala,लिंगाला,lingala,Lingala,லிங்காலா,Lingala,lingala,Lingala,lingala,лингала,Dingala,Lingala,lingala,Rungala,lingala,Lingala,Lingala,Lingala,lingala,လင်ဂါလာ,Lingala,lingala,Lingala,IsiLingala,Lingala,Selingala,Lingala,lingala,лингала,lingala,lingala,Cilingala,Lingala,Lingala,lingala,Lingala,લિંગાલા,लिंगाला,Lingala,Lingala,Lingala,Lingala,Lingala,Lingala,Lingala,リンガラ語,Lingala,lingala,Lingala,ngalština,林加拉語,Lingala,Lingala,Lingala,Thok,Lingaala,lingala,ลิงกาลา,Kilingala,Lingala,Lingala,Lingala,лингала,Liongáilis,лингала,lingala,Lingala,Lingala,Lingala,лингала,lingale,Lingala,lingala,Lingala,lingalčina,Lingala,Lingala,Lîngalî,Lingala,Lingala,Lingala,Lingala,Lingala,lingala,lingala,lingala,Lingala,Lingala,лингалӕ,lingala,ሊንጋላ,Lingala
Gĩtwi,ទ្វី,Twi,Twi,Twi,twi,tvi,Twi,tvi,Twi,Twi,Twi,Twi,тві,Twi,Twi,twi,tw,twi,च्वी,Twi,Twi,Twi,Twi,ਚਵੀ,Tvi,ტვი,Twi,twi,tvi,Twi,twi,Twi,Twi,Թվի,Twi,twi,Kĩtwii,Twi,ችዊ,Twi,Twi,twi,त्वी,Twi,тви,Twi,Twi,트위어,twi,Twi,Twi,Twitongo,Twi,Twi,тви,Twi,Twi,rudim,tvii,twi,Τούι,Twi,tvii,Twi,Twi,Twi,tvi,twi,Twi,Twi,Setwi,Igitwi,Twi,twi,Twi,Twi,Twi,Twi,Twi,Twi,Twi,twi,twi,Twitongo,Twi,IsiTwi,Twi,Twi,Twi,Tuwii,Twitongo,twi,тви,Twi,Twi,туи,twi,Twi,Twi,Twi,SiTwi,Twi,Twi,Citwi,Twi,त्वी,tvijščina,Twi,டுவி,Twi,tví,Twi,twi,twi,Kitwi,Twi,twi,Rutwi,twi,Twi,Tvi,Twi,twi,တွီ,Twi,twi,Twi,IsiTwi,Twi,Setwi,Twi,twi,тви,twi,twi,Citwi,Twi,Twi,twi,Twi,ટ્વી,ट्वी,Twi,Twi,Twi,Twi,Twi,Twi,Twi,トウィ語,Twi,twi,Twi,ťwiština,特威語,Twi,Twi,Twi,Thok,Tiwii,twi,ชวี,Kitwi,Twi,Twi,Tvī,тви,Tíbhis,тви,twi,Twi,Twi,Twi,тви,tviane,Tui,twi,Twi,twi,Twi,Twi,Twî,Twi,Twi,Twi,Twi,Tvi,twi,twi,twi,Twi,Twi,тви,twi,ትዊ,Twi
Gĩtatari,Tatar,Tataars,Tatar,Tata,tártaro,tatarski,Tatar,tatarski,Tatar,Tatar,Tatar,Tatar,татарська,Tatar,Tártaro,tártaro,tt,tártaro,टाटर,Tatar,Tatar,Tatar,Tatar,ਟਾਟਰ,Tatariskt,თათრული,Tatarstanimiutut,tártaro,tatár,Tatar,tártaro,Tatar,Tataars,Թաթարերեն,Tatar,tártaro,Kĩtalitali,Tatar,ታታር,Tatarisk,Tatar,tártaro,टाटार,Tatar,татар,Tatar,Tatar,타타르어,tártaro,Tatar,Tataars,Tatartongo,Tártaro,Tatar,татарский,Tatar,Tatar,rudim,tatari,tártaro,Ταταρική,Tatar,tatari,Tatar,Tatar,Tatar,totorių,tártaro,Tatar,Tatar,Setatar,Igitatari,Tatar,tártaro,Tatar,Tártaro,Tártaro,Tatar,Tatar,Tártaro,Tatar,tártaro,tártaro,Tatartongo,Tatar,IsiTatar,Tatar,Tatar,Tatar,Taataar,Tatartongo,tártaro,татар,Tatar,Tătară,татарски,tártaro,Tatar,Tatar,Tatar,SiTatar,Tatar,Tatar,Citatara,Tatar,टाटार,tatarščina,Tatar,டாட்டர்,Tatar,tatar,Tatar,tártaro,татар,Kitatare,Tatar,tártaro,Rutar,tataro,Tatar,Tártaro,Tatar,tártaro,တာတာ,Tatar,tataari,Tatareg,IsiTatar,Tártaro,Setatare,Tártaro,tártaro,тоторӣ,tártaro,tártaro,Citatar,Tatar,Tatar,tártaro,Tatar,ટાટર,तातर,Tatar,Tatar,Tatar,Tatar,Tatar,Tatar,Tatarisk,タタール語,Tatar,tatarski,Tatar,tatarština,塔塔爾語,Tártaro,Tatar,Tatar,Thok,Taatari,tártaro,ตาตาร์,Kitatar,Tatar,Tatar,Tatāru,татар,Tatar,татарски,tártaro,Tatar,Tatar,Tatar,татар,tatare,Tatarca,tártaro,Tatar,tatárčina,Tatariska,Tatar,Ecemî,Tatar,Tatar,Tatar,Tatar,Tatarsko,tártaro,tártaro,tártaro,Tatarisch,Tatar,тӕтӕйраг,tártaro,ታታር,Tatar
